Complexity metrics,terça, 7 nov. 2023 10:24:59 WET
Method,CogC,ev(G),iv(G),v(G)
"net.sf.freecol.common.io.FreeColXMLWriter.writeEmptyElement(String, String, String)",0,1,1,1
net.sf.freecol.common.io.FreeColXMLWriter.writeEndDocument(),0,1,1,1
net.sf.freecol.common.io.FreeColXMLWriter.writeEndElement(),0,1,1,1
net.sf.freecol.common.io.FreeColXMLWriter.writeEntityRef(String),0,1,1,1
"net.sf.freecol.common.io.FreeColXMLWriter.writeLocationAttribute(String, Location)",0,1,1,1
"net.sf.freecol.common.io.FreeColXMLWriter.writeNamespace(String, String)",0,1,1,1
net.sf.freecol.common.io.FreeColXMLWriter.writeProcessingInstruction(String),0,1,1,1
"net.sf.freecol.common.io.FreeColXMLWriter.writeProcessingInstruction(String, String)",0,1,1,1
net.sf.freecol.common.io.FreeColXMLWriter.writeStartDocument(),0,1,1,1
net.sf.freecol.common.io.FreeColXMLWriter.writeStartDocument(String),0,1,1,1
"net.sf.freecol.common.io.FreeColXMLWriter.writeStartDocument(String, String)",0,1,1,1
net.sf.freecol.common.io.FreeColXMLWriter.writeStartElement(String),0,1,1,1
"net.sf.freecol.common.io.FreeColXMLWriter.writeStartElement(String, String)",0,1,1,1
"net.sf.freecol.common.io.FreeColXMLWriter.writeStartElement(String, String, String)",0,1,1,1
"net.sf.freecol.common.io.FreeColXMLWriter.writeToListElement(String, Collection<T>)",2,2,2,3
net.sf.freecol.common.io.ModTest.testAllMods(),1,1,2,2
net.sf.freecol.common.io.ModTest.testGetRuleSets(),1,1,2,2
"net.sf.freecol.common.io.sza.SimpleZippedAnimation.ImageAnimationEventImpl.ImageAnimationEventImpl(BufferedImage, int)",0,1,1,1
net.sf.freecol.common.io.sza.SimpleZippedAnimation.ImageAnimationEventImpl.createScaledVersion(float),0,1,1,1
net.sf.freecol.common.io.sza.SimpleZippedAnimation.ImageAnimationEventImpl.getDurationInMs(),0,1,1,1
net.sf.freecol.common.io.sza.SimpleZippedAnimation.ImageAnimationEventImpl.getHeight(),0,1,1,1
net.sf.freecol.common.io.sza.SimpleZippedAnimation.ImageAnimationEventImpl.getImage(),0,1,1,1
net.sf.freecol.common.io.sza.SimpleZippedAnimation.ImageAnimationEventImpl.getWidth(),0,1,1,1
net.sf.freecol.common.io.sza.SimpleZippedAnimation.SimpleZippedAnimation(InputStream),0,1,1,1
net.sf.freecol.common.io.sza.SimpleZippedAnimation.SimpleZippedAnimation(List<AnimationEvent>),0,1,1,1
"net.sf.freecol.common.io.sza.SimpleZippedAnimation.SimpleZippedAnimation(List<AnimationEvent>, int, int)",0,1,1,1
net.sf.freecol.common.io.sza.SimpleZippedAnimation.SimpleZippedAnimation(URL),0,1,1,1
net.sf.freecol.common.io.sza.SimpleZippedAnimation.SimpleZippedAnimation(ZipInputStream),0,1,1,1
net.sf.freecol.common.io.sza.SimpleZippedAnimation.createScaledVersion(float),2,1,2,2
net.sf.freecol.common.io.sza.SimpleZippedAnimation.getHeight(),0,1,1,1
net.sf.freecol.common.io.sza.SimpleZippedAnimation.getWidth(),0,1,1,1
net.sf.freecol.common.io.sza.SimpleZippedAnimation.iterator(),0,1,1,1
net.sf.freecol.common.io.sza.SimpleZippedAnimation.loadEvents(ZipInputStream),14,5,5,9
"net.sf.freecol.common.logging.DefaultHandler.DefaultHandler(boolean, Writer)",1,1,2,2
net.sf.freecol.common.logging.DefaultHandler.close(),3,1,3,3
net.sf.freecol.common.logging.DefaultHandler.flush(),3,1,3,3
net.sf.freecol.common.logging.DefaultHandler.publish(LogRecord),10,2,9,10
net.sf.freecol.common.logging.TextFormatter.TextFormatter(),0,1,1,1
net.sf.freecol.common.logging.TextFormatter.format(LogRecord),1,1,2,2
net.sf.freecol.common.metaserver.MetaServerUtils.MetaInputHandler.MetaInputHandler(Consumer<List<ServerInfo>>),0,1,1,1
"net.sf.freecol.common.metaserver.MetaServerUtils.MetaInputHandler.handle(Connection, Message)",2,2,1,4
net.sf.freecol.common.metaserver.MetaServerUtils.MetaInputHandler.read(Connection),0,1,1,1
net.sf.freecol.common.metaserver.MetaServerUtils.findTimer(ServerInfo),1,1,2,2
net.sf.freecol.common.metaserver.MetaServerUtils.getMetaServerConnection(List<ServerInfo>),5,1,4,4
net.sf.freecol.common.metaserver.MetaServerUtils.getServerList(),7,4,6,7
"net.sf.freecol.common.metaserver.MetaServerUtils.metaMessage(MetaMessageType, ServerInfo)",8,2,6,8
net.sf.freecol.common.metaserver.MetaServerUtils.registerServer(ServerInfo),0,1,1,1
net.sf.freecol.common.metaserver.MetaServerUtils.removeServer(ServerInfo),0,1,1,1
net.sf.freecol.common.metaserver.MetaServerUtils.startTimer(ServerInfo),3,1,2,2
net.sf.freecol.common.metaserver.MetaServerUtils.stopTimer(ServerInfo),1,2,1,2
net.sf.freecol.common.metaserver.MetaServerUtils.updateServer(ServerInfo),0,1,1,1
net.sf.freecol.common.metaserver.MetaServerUtils.updateTimer(ServerInfo),1,2,1,2
"net.sf.freecol.common.metaserver.ServerInfo.ServerInfo(String, String, int, int, int, boolean, String, ...)",0,1,1,1
net.sf.freecol.common.metaserver.ServerInfo.equals(Object),3,3,9,10
net.sf.freecol.common.metaserver.ServerInfo.getAddress(),0,1,1,1
net.sf.freecol.common.metaserver.ServerInfo.getCurrentlyPlaying(),0,1,1,1
net.sf.freecol.common.metaserver.ServerInfo.getGameState(),0,1,1,1
net.sf.freecol.common.metaserver.ServerInfo.getIsGameStarted(),0,1,1,1
net.sf.freecol.common.metaserver.ServerInfo.getLastUpdated(),0,1,1,1
net.sf.freecol.common.metaserver.ServerInfo.getName(),0,1,1,1
net.sf.freecol.common.metaserver.ServerInfo.getPort(),0,1,1,1
net.sf.freecol.common.metaserver.ServerInfo.getSlotsAvailable(),0,1,1,1
net.sf.freecol.common.metaserver.ServerInfo.getVersion(),0,1,1,1
net.sf.freecol.common.metaserver.ServerInfo.hashCode(),1,1,1,2
net.sf.freecol.common.metaserver.ServerInfo.toString(),0,1,1,1
net.sf.freecol.common.metaserver.ServerInfo.update(ServerInfo),0,1,1,1
"net.sf.freecol.common.metaserver.ServerInfo.update(String, String, int, int, int, boolean, String, ...)",0,1,1,1
net.sf.freecol.common.model.Ability.Ability(Ability),0,1,1,1
"net.sf.freecol.common.model.Ability.Ability(FreeColXMLReader, Specification)",0,1,1,1
net.sf.freecol.common.model.Ability.Ability(Specification),0,1,1,1
net.sf.freecol.common.model.Ability.Ability(String),0,1,1,1
"net.sf.freecol.common.model.Ability.Ability(String, FreeColSpecObjectType, boolean)",1,1,2,2
"net.sf.freecol.common.model.Ability.Ability(String, boolean)",0,1,1,1
net.sf.freecol.common.model.Ability.copyIn(T),2,2,2,3
net.sf.freecol.common.model.Ability.equals(Object),3,3,3,4
net.sf.freecol.common.model.Ability.getValue(),0,1,1,1
net.sf.freecol.common.model.Ability.getXMLTagName(),0,1,1,1
net.sf.freecol.common.model.Ability.hashCode(),1,1,1,2
net.sf.freecol.common.model.Ability.readAttributes(FreeColXMLReader),0,1,1,1
net.sf.freecol.common.model.Ability.setValue(boolean),0,1,1,1
net.sf.freecol.common.model.Ability.toString(),1,1,2,2
net.sf.freecol.common.model.Ability.writeAttributes(FreeColXMLWriter),0,1,1,1
net.sf.freecol.common.model.AbstractGoods.AbstractGoods(),0,1,1,1
net.sf.freecol.common.model.AbstractGoods.AbstractGoods(AbstractGoods),0,1,1,1
"net.sf.freecol.common.model.AbstractGoods.AbstractGoods(GoodsType, int)",0,1,1,1
net.sf.freecol.common.model.AbstractGoods.copyIn(T),2,2,2,3
net.sf.freecol.common.model.AbstractGoods.equals(Object),3,3,4,5
net.sf.freecol.common.model.AbstractGoods.evaluateFor(Player),1,1,2,2
"net.sf.freecol.common.model.AbstractGoods.getAbstractLabel(String, int)",0,1,1,1
net.sf.freecol.common.model.AbstractGoods.getAmount(),0,1,1,1
"net.sf.freecol.common.model.AbstractGoods.getCount(GoodsType, Collection<? extends AbstractGoods>)",1,1,2,2
net.sf.freecol.common.model.AbstractGoods.getLabel(),0,1,1,1
net.sf.freecol.common.model.AbstractGoods.getLabel(boolean),1,1,2,2
net.sf.freecol.common.model.AbstractGoods.getNameKey(),0,1,1,1
net.sf.freecol.common.model.AbstractGoods.getType(),0,1,1,1
net.sf.freecol.common.model.AbstractGoods.getXMLTagName(),0,1,1,1
net.sf.freecol.common.model.AbstractGoods.hashCode(),0,1,1,1
net.sf.freecol.common.model.AbstractGoods.isFoodType(),0,1,1,1
net.sf.freecol.common.model.AbstractGoods.isPositive(),0,1,1,1
net.sf.freecol.common.model.AbstractGoods.isStorable(),0,1,1,1
net.sf.freecol.common.model.AbstractGoods.matches(GoodsType),0,1,1,1
net.sf.freecol.common.model.AbstractGoods.setAmount(int),0,1,1,1
net.sf.freecol.common.model.AbstractGoods.setType(GoodsType),0,1,1,1
"net.sf.freecol.common.model.AbstractGoods.toFullString(GoodsType, int)",1,1,2,2
net.sf.freecol.common.model.AbstractGoods.toString(),0,1,1,1
net.sf.freecol.common.model.AbstractUnit.AbstractUnit(),0,1,1,1
net.sf.freecol.common.model.AbstractUnit.AbstractUnit(FreeColXMLReader),0,1,1,1
"net.sf.freecol.common.model.AbstractUnit.AbstractUnit(String, String, int)",0,1,1,1
"net.sf.freecol.common.model.AbstractUnit.AbstractUnit(UnitType, String, int)",0,1,1,1
net.sf.freecol.common.model.AbstractUnit.addToNumber(int),0,1,1,1
"net.sf.freecol.common.model.AbstractUnit.calculateStrength(Specification, List<AbstractUnit>)",0,1,1,1
net.sf.freecol.common.model.AbstractUnit.copyIn(T),2,2,2,3
net.sf.freecol.common.model.AbstractUnit.deepCopy(List<AbstractUnit>),0,1,1,1
net.sf.freecol.common.model.AbstractUnit.getDescription(),0,1,1,1
net.sf.freecol.common.model.AbstractUnit.getLabel(),0,1,1,1
"net.sf.freecol.common.model.AbstractUnit.getLabelInternal(String, String, int)",0,1,1,1
"net.sf.freecol.common.model.AbstractUnit.getListLabel(String, List<AbstractUnit>)",1,1,2,2
net.sf.freecol.common.model.AbstractUnit.getNumber(),0,1,1,1
net.sf.freecol.common.model.AbstractUnit.getOffence(Specification),0,1,1,1
net.sf.freecol.common.model.AbstractUnit.getRole(Specification),0,1,1,1
net.sf.freecol.common.model.AbstractUnit.getRoleId(),0,1,1,1
net.sf.freecol.common.model.AbstractUnit.getSingleLabel(),0,1,1,1
net.sf.freecol.common.model.AbstractUnit.getType(Specification),0,1,1,1
net.sf.freecol.common.model.AbstractUnit.getXMLTagName(),0,1,1,1
net.sf.freecol.common.model.AbstractUnit.matchAll(AbstractUnit),1,1,3,3
"net.sf.freecol.common.model.AbstractUnit.matchUnits(List<AbstractUnit>, List<AbstractUnit>)",4,4,2,4
net.sf.freecol.common.model.AbstractUnit.matcher(AbstractUnit),1,1,2,2
net.sf.freecol.common.model.AbstractUnit.matcher(Unit),0,1,1,1
"net.sf.freecol.common.model.AbstractUnit.matcher(UnitType, String)",1,1,2,2
net.sf.freecol.common.model.AbstractUnit.readAttributes(FreeColXMLReader),0,1,1,1
net.sf.freecol.common.model.AbstractUnit.setNumber(int),0,1,1,1
net.sf.freecol.common.model.AbstractUnit.setRoleId(String),0,1,1,1
net.sf.freecol.common.model.AbstractUnit.toString(),0,1,1,1
net.sf.freecol.common.model.AbstractUnit.writeAttributes(FreeColXMLWriter),0,1,1,1
net.sf.freecol.common.model.AllTests.suite(),0,1,1,1
net.sf.freecol.common.model.BaseCostDeciderTest.setUp(),0,1,1,1
net.sf.freecol.common.model.BaseCostDeciderTest.tearDown(),0,1,1,1
net.sf.freecol.common.model.BaseCostDeciderTest.testGetCostLandLand(),1,1,2,2
net.sf.freecol.common.model.BaseCostDeciderTest.testGetRemainingMovesAndNewTurn(),0,1,1,1
net.sf.freecol.common.model.BaseCostDeciderTest.testInvalidMoveOfLandUnitToAnOceanTile(),0,1,1,1
net.sf.freecol.common.model.BaseCostDeciderTest.testInvalidMoveOfNavalUnitToALandTile(),0,1,1,1
net.sf.freecol.common.model.BaseCostDeciderTest.testInvalidMoveThroughTileWithSettlement(),0,1,1,1
net.sf.freecol.common.model.BaseCostDeciderTest.testNavalUnitMoveToTileWithSettlement(),3,1,3,3
"net.sf.freecol.common.model.BaseProduction.getBaseProduction(ProductionType, GoodsType, UnitType)",4,3,3,5
"net.sf.freecol.common.model.BuildQueue.BuildQueue(Colony, CompletionAction, int)",0,1,1,1
net.sf.freecol.common.model.BuildQueue.add(T),0,1,1,1
net.sf.freecol.common.model.BuildQueue.clear(),0,1,1,1
net.sf.freecol.common.model.BuildQueue.getCompletionAction(),0,1,1,1
net.sf.freecol.common.model.BuildQueue.getConsumedGoods(),1,1,2,2
net.sf.freecol.common.model.BuildQueue.getConsumptionModifiers(String),0,1,1,1
net.sf.freecol.common.model.BuildQueue.getCurrentlyBuilding(),1,1,2,2
net.sf.freecol.common.model.BuildQueue.getPriority(),0,1,1,1
net.sf.freecol.common.model.BuildQueue.getProductionInfo(List<AbstractGoods>),13,4,7,7
net.sf.freecol.common.model.BuildQueue.getValues(),0,1,1,1
net.sf.freecol.common.model.BuildQueue.isEmpty(),0,1,1,1
net.sf.freecol.common.model.BuildQueue.remove(int),0,1,1,1
net.sf.freecol.common.model.BuildQueue.setCompletionAction(CompletionAction),0,1,1,1
net.sf.freecol.common.model.BuildQueue.setCurrentlyBuilding(T),5,1,4,4
net.sf.freecol.common.model.BuildQueue.setValues(List<T>),0,1,1,1
net.sf.freecol.common.model.BuildQueue.size(),0,1,1,1
net.sf.freecol.common.model.BuildQueue.toString(),1,1,2,2
"net.sf.freecol.common.model.BuildableType.BuildableType(String, Specification)",0,1,1,1
net.sf.freecol.common.model.BuildableType.addLimit(Limit),1,1,1,2
"net.sf.freecol.common.model.BuildableType.addRequiredAbility(String, boolean)",1,1,1,2
net.sf.freecol.common.model.BuildableType.addRequiredGoods(AbstractGoods),1,1,1,2
net.sf.freecol.common.model.BuildableType.copyIn(T),2,2,2,3
net.sf.freecol.common.model.BuildableType.getCurrentlyBuildingLabel(),0,1,1,1
net.sf.freecol.common.model.BuildableType.getLimits(),1,1,2,2
"net.sf.freecol.common.model.BuildableType.getMaximumIndex(Colony, JList<BuildableType>, int)",0,1,1,1
"net.sf.freecol.common.model.BuildableType.getMinimumIndex(Colony, JList<BuildableType>, int)",0,1,1,1
net.sf.freecol.common.model.BuildableType.getRequiredAbilities(),1,1,2,2
net.sf.freecol.common.model.BuildableType.getRequiredAmountOf(GoodsType),0,1,1,1
net.sf.freecol.common.model.BuildableType.getRequiredGoods(),1,1,2,2
net.sf.freecol.common.model.BuildableType.getRequiredGoodsList(),1,1,2,2
net.sf.freecol.common.model.BuildableType.getRequiredPopulation(),0,1,1,1
net.sf.freecol.common.model.BuildableType.isAvailableTo(FreeColObject...),19,7,8,9
net.sf.freecol.common.model.BuildableType.needsGoodsToBuild(),1,1,2,2
net.sf.freecol.common.model.BuildableType.readAttributes(FreeColXMLReader),0,1,1,1
net.sf.freecol.common.model.BuildableType.readChild(FreeColXMLReader),6,1,5,5
net.sf.freecol.common.model.BuildableType.readChildren(FreeColXMLReader),1,1,1,2
net.sf.freecol.common.model.BuildableType.removeRequiredAbility(String),1,1,2,2
net.sf.freecol.common.model.BuildableType.requiresAbility(String),3,1,3,3
net.sf.freecol.common.model.BuildableType.setLimits(List<Limit>),0,1,1,1
"net.sf.freecol.common.model.BuildableType.setRequiredAbilities(Map<String, Boolean>)",0,1,1,1
net.sf.freecol.common.model.BuildableType.setRequiredGoods(List<AbstractGoods>),0,1,1,1
net.sf.freecol.common.model.BuildableType.setRequiredPopulation(int),0,1,1,1
net.sf.freecol.common.model.BuildableType.writeAttributes(FreeColXMLWriter),1,1,2,2
net.sf.freecol.common.model.BuildableType.writeChildren(FreeColXMLWriter),5,1,5,5
"net.sf.freecol.common.model.Building.Building(Game, Colony, BuildingType)",0,1,1,1
"net.sf.freecol.common.model.Building.Building(Game, String)",0,1,1,1
net.sf.freecol.common.model.Building.canAddType(UnitType),1,1,2,2
net.sf.freecol.common.model.Building.canAutoProduce(),0,1,1,1
net.sf.freecol.common.model.Building.canBeDamaged(),1,1,2,2
net.sf.freecol.common.model.Building.canBuildNext(),0,1,1,1
"net.sf.freecol.common.model.Building.canProduce(GoodsType, UnitType)",1,1,2,2
net.sf.freecol.common.model.Building.copyIn(T),2,2,2,3
net.sf.freecol.common.model.Building.downgrade(),1,2,1,2
net.sf.freecol.common.model.Building.evaluateFor(Player),0,1,1,1
"net.sf.freecol.common.model.Building.getAbilities(String, FreeColSpecObjectType, Turn)",0,1,1,1
"net.sf.freecol.common.model.Building.getAdjustedProductionInfo(List<AbstractGoods>, List<AbstractGoods>)",0,1,1,1
net.sf.freecol.common.model.Building.getAvailableProductionTypes(boolean),1,1,2,2
"net.sf.freecol.common.model.Building.getBaseProduction(ProductionType, GoodsType, UnitType)",1,1,2,2
net.sf.freecol.common.model.Building.getCompetenceFactor(),0,1,1,1
net.sf.freecol.common.model.Building.getConsumedGoods(),0,1,1,1
net.sf.freecol.common.model.Building.getConsumptionModifiers(String),0,1,1,1
net.sf.freecol.common.model.Building.getDisplayObject(),0,1,1,1
net.sf.freecol.common.model.Building.getLabel(),1,1,2,2
net.sf.freecol.common.model.Building.getLevel(),0,1,1,1
net.sf.freecol.common.model.Building.getLocationLabel(),0,1,1,1
"net.sf.freecol.common.model.Building.getModifiers(String, FreeColSpecObjectType, Turn)",0,1,1,1
net.sf.freecol.common.model.Building.getNameKey(),0,1,1,1
net.sf.freecol.common.model.Building.getNoAddReason(Locatable),3,1,3,3
net.sf.freecol.common.model.Building.getNoWorkReason(),0,1,1,1
net.sf.freecol.common.model.Building.getPriority(),0,1,1,1
"net.sf.freecol.common.model.Building.getProductionModifiers(GoodsType, UnitType)",2,1,3,3
net.sf.freecol.common.model.Building.getRebelFactor(),0,1,1,1
net.sf.freecol.common.model.Building.getType(),0,1,1,1
net.sf.freecol.common.model.Building.getUnitCapacity(),0,1,1,1
net.sf.freecol.common.model.Building.getWorkTile(),0,1,1,1
net.sf.freecol.common.model.Building.getXMLTagName(),0,1,1,1
"net.sf.freecol.common.model.Building.goodSuggestionCheck(UnitType, Unit, GoodsType)",6,4,6,7
net.sf.freecol.common.model.Building.isAvailable(),0,1,1,1
net.sf.freecol.common.model.Building.isCurrent(),0,1,1,1
net.sf.freecol.common.model.Building.readAttributes(FreeColXMLReader),0,1,1,1
net.sf.freecol.common.model.Building.setType(BuildingType),6,3,4,5
net.sf.freecol.common.model.Building.toShortString(),0,1,1,1
net.sf.freecol.common.model.Building.toString(),2,1,3,3
net.sf.freecol.common.model.Building.up(),0,1,1,1
net.sf.freecol.common.model.Building.upgrade(),1,2,1,2
net.sf.freecol.common.model.Building.writeAttributes(FreeColXMLWriter),0,1,1,1
net.sf.freecol.common.model.BuildingTest.clearBuilding(Building),1,1,2,2
"net.sf.freecol.common.model.BuildingTest.productionTest(BuildingType[], int[][][])",19,1,10,10
net.sf.freecol.common.model.BuildingTest.testCanAddToBuilding(),10,3,6,7
net.sf.freecol.common.model.BuildingTest.testCanAddToSchool(),0,1,1,1
net.sf.freecol.common.model.BuildingTest.testCanBuildNext(),0,1,1,1
net.sf.freecol.common.model.BuildingTest.testChurch(),1,1,2,2
net.sf.freecol.common.model.BuildingTest.testCottonClothProduction(),0,1,1,1
net.sf.freecol.common.model.BuildingTest.testCrossProduction(),0,1,1,1
net.sf.freecol.common.model.BuildingTest.testFactoryProduction(),0,1,1,1
net.sf.freecol.common.model.BuildingTest.testFortRequiresMinimumPopulation(),0,1,1,1
net.sf.freecol.common.model.BuildingTest.testFortressRequiresMinimumPopulation(),0,1,1,1
net.sf.freecol.common.model.BuildingTest.testInitialColony(),0,1,1,1
net.sf.freecol.common.model.BuildingTest.testLumberProduction(),0,1,1,1
net.sf.freecol.common.model.BuildingTest.testNewspaperBonus(),0,1,1,1
net.sf.freecol.common.model.BuildingTest.testPasture(),0,1,1,1
net.sf.freecol.common.model.BuildingTest.testPrintingPressBonus(),1,1,2,2
net.sf.freecol.common.model.BuildingTest.testSerialize(),3,1,3,3
net.sf.freecol.common.model.BuildingTest.testStockade(),0,1,1,1
net.sf.freecol.common.model.BuildingTest.testStockadeRequiresMinimumPopulation(),0,1,1,1
net.sf.freecol.common.model.BuildingTest.testToolsMusketProduction(),0,1,1,1
net.sf.freecol.common.model.BuildingTest.testTownhallProduction(),1,1,2,2
net.sf.freecol.common.model.BuildingTest.testUnitProduction(),42,1,11,11
"net.sf.freecol.common.model.BuildingType.BuildingType(String, Specification)",0,1,1,1
net.sf.freecol.common.model.BuildingType.addProductionType(ProductionType),1,1,2,2
net.sf.freecol.common.model.BuildingType.canAdd(UnitType),0,1,1,1
"net.sf.freecol.common.model.BuildingType.canBeBuiltInColony(Colony, List<BuildableType>)",8,4,4,6
"net.sf.freecol.common.model.BuildingType.canProduce(GoodsType, UnitType)",1,1,2,2
net.sf.freecol.common.model.BuildingType.compareTo(FreeColObject),2,1,3,3
net.sf.freecol.common.model.BuildingType.copyIn(T),2,2,2,3
net.sf.freecol.common.model.BuildingType.getAvailableProductionTypes(boolean),0,1,1,1
"net.sf.freecol.common.model.BuildingType.getAvailableProductionTypes(boolean, String)",1,1,2,2
net.sf.freecol.common.model.BuildingType.getCompetenceFactor(),0,1,1,1
"net.sf.freecol.common.model.BuildingType.getCompetenceModifiers(String, UnitType, Turn)",4,1,3,3
net.sf.freecol.common.model.BuildingType.getExpertConnectionProduction(),0,1,1,1
net.sf.freecol.common.model.BuildingType.getFirstLevel(),1,1,2,2
net.sf.freecol.common.model.BuildingType.getLevel(),0,1,1,1
"net.sf.freecol.common.model.BuildingType.getMaximumIndex(Colony, JList<BuildableType>, int)",19,9,6,16
net.sf.freecol.common.model.BuildingType.getMaximumSkill(),0,1,1,1
"net.sf.freecol.common.model.BuildingType.getMinimumIndex(Colony, JList<BuildableType>, int)",6,5,3,6
net.sf.freecol.common.model.BuildingType.getMinimumSkill(),0,1,1,1
net.sf.freecol.common.model.BuildingType.getNoAddReason(UnitType),10,1,4,5
"net.sf.freecol.common.model.BuildingType.getPotentialProduction(GoodsType, UnitType)",2,1,3,3
net.sf.freecol.common.model.BuildingType.getPriority(),0,1,1,1
net.sf.freecol.common.model.BuildingType.getProducedGoodsType(),2,2,2,3
net.sf.freecol.common.model.BuildingType.getProductionTypes(),0,1,1,1
net.sf.freecol.common.model.BuildingType.getRebelFactor(),0,1,1,1
net.sf.freecol.common.model.BuildingType.getType(),0,1,1,1
net.sf.freecol.common.model.BuildingType.getUpgradesFrom(),0,1,1,1
net.sf.freecol.common.model.BuildingType.getUpgradesTo(),0,1,1,1
net.sf.freecol.common.model.BuildingType.getUpkeep(),0,1,1,1
net.sf.freecol.common.model.BuildingType.getWorkPlaces(),0,1,1,1
net.sf.freecol.common.model.BuildingType.getXMLTagName(),0,1,1,1
net.sf.freecol.common.model.BuildingType.isAutomaticBuild(),1,1,2,2
net.sf.freecol.common.model.BuildingType.isDefenceType(),0,1,1,1
net.sf.freecol.common.model.BuildingType.readAttributes(FreeColXMLReader),13,1,7,8
net.sf.freecol.common.model.BuildingType.readChild(FreeColXMLReader),7,1,4,5
net.sf.freecol.common.model.BuildingType.setProductionTypes(List<ProductionType>),0,1,1,1
net.sf.freecol.common.model.BuildingType.writeAttributes(FreeColXMLWriter),5,1,6,6
net.sf.freecol.common.model.BuildingType.writeChildren(FreeColXMLWriter),1,1,2,2
"net.sf.freecol.common.model.ClassicTileProductionTest.ProductionTestCombination.ProductionTestCombination(TileType, GoodsType, ResourceType, UnitType, List<TileImprovementTypeWithMagnitude>, int)",0,1,1,1
"net.sf.freecol.common.model.ClassicTileProductionTest.TileImprovementTypeWithMagnitude.TileImprovementTypeWithMagnitude(TileImprovementType, int)",0,1,1,1
net.sf.freecol.common.model.ClassicTileProductionTest.TileImprovementTypeWithMagnitude.getMagnitude(),0,1,1,1
net.sf.freecol.common.model.ClassicTileProductionTest.TileImprovementTypeWithMagnitude.getTileImprovementType(),0,1,1,1
"net.sf.freecol.common.model.ClassicTileProductionTest.compareResultFiles(File, File)",5,1,4,4
net.sf.freecol.common.model.ClassicTileProductionTest.determineTileImprovementPermutations(TileType),13,1,6,6
"net.sf.freecol.common.model.ClassicTileProductionTest.executeProductionTestCombination(ProductionTestCombination, Game, List<TileImprovementType>)",8,1,8,8
"net.sf.freecol.common.model.ClassicTileProductionTest.getProductionAmount(GoodsType, ProductionInfo)",1,2,1,2
net.sf.freecol.common.model.ClassicTileProductionTest.getUnitTypesThatShouldBeTestedFor(GoodsType),1,1,2,2
net.sf.freecol.common.model.ClassicTileProductionTest.nullAnd(List<T>),0,1,1,1
net.sf.freecol.common.model.ClassicTileProductionTest.produceActualResultFile(File),21,1,7,7
net.sf.freecol.common.model.ClassicTileProductionTest.readHeaderFromResultFile(File),0,1,1,1
net.sf.freecol.common.model.ClassicTileProductionTest.readResultFile(File),4,3,3,4
net.sf.freecol.common.model.ClassicTileProductionTest.testTileProduction(),0,1,1,1
"net.sf.freecol.common.model.ClassicTileProductionTest.writeHeaderTo(PrintWriter, List<TileImprovementType>)",0,1,1,1
"net.sf.freecol.common.model.ClassicTileProductionTest.writeOutputTo(PrintWriter, List<Object>, String)",0,1,1,1
"net.sf.freecol.common.model.Colony.Colony(Game, Player, String, Tile)",0,1,1,1
"net.sf.freecol.common.model.Colony.Colony(Game, String)",0,1,1,1
"net.sf.freecol.common.model.Colony.TileImprovementSuggestion.TileImprovementSuggestion(Tile, TileImprovementType, int)",0,1,1,1
net.sf.freecol.common.model.Colony.TileImprovementSuggestion.getAmount(),0,1,1,1
net.sf.freecol.common.model.Colony.TileImprovementSuggestion.isExploration(),0,1,1,1
"net.sf.freecol.common.model.Colony.accumulateChoice(GoodsType, Collection<GoodsType>, List<Collection<GoodsType>>)",1,2,1,2
"net.sf.freecol.common.model.Colony.accumulateChoices(Collection<GoodsType>, Collection<GoodsType>, List<Collection<GoodsType>>)",1,1,2,2
net.sf.freecol.common.model.Colony.add(Locatable),1,2,2,2
net.sf.freecol.common.model.Colony.addBuilding(Building),4,3,3,5
net.sf.freecol.common.model.Colony.addColonyTile(ColonyTile),1,2,1,2
"net.sf.freecol.common.model.Colony.addGoods(GoodsType, int)",0,1,1,1
net.sf.freecol.common.model.Colony.addLiberty(int),2,1,3,3
net.sf.freecol.common.model.Colony.addPortAbility(),0,1,1,1
net.sf.freecol.common.model.Colony.calculateProductionBonus(int),5,3,1,5
"net.sf.freecol.common.model.Colony.calculateRebelCount(int, int)",0,1,1,1
"net.sf.freecol.common.model.Colony.calculateSettlementValue(int, Unit)",1,1,2,2
"net.sf.freecol.common.model.Colony.calculateSoLPercentage(int, int)",3,2,1,4
"net.sf.freecol.common.model.Colony.calculateToryCount(int, int)",0,1,1,1
net.sf.freecol.common.model.Colony.canBeInput(),0,1,1,1
net.sf.freecol.common.model.Colony.canBePillaged(Unit),3,1,8,8
net.sf.freecol.common.model.Colony.canBePlundered(),0,1,1,1
net.sf.freecol.common.model.Colony.canBreed(GoodsType),1,1,2,2
net.sf.freecol.common.model.Colony.canBuild(),0,1,1,1
net.sf.freecol.common.model.Colony.canBuild(BuildableType),0,1,1,1
net.sf.freecol.common.model.Colony.canPayToFinishBuilding(),0,1,1,1
net.sf.freecol.common.model.Colony.canPayToFinishBuilding(BuildableType),1,1,2,2
net.sf.freecol.common.model.Colony.canProduce(GoodsType),4,1,4,4
net.sf.freecol.common.model.Colony.canProvideGoods(List<AbstractGoods>),7,3,3,5
net.sf.freecol.common.model.Colony.canReducePopulation(),0,1,1,1
net.sf.freecol.common.model.Colony.canTrain(Unit),0,1,1,1
