Lines of code metrics,Wed, 8 Nov 2023 04:59:54 WET
Method,CLOC,JLOC,LOC,NCLOC,RLOC
net.sf.freecol.client.gui.SwingGUI.traverseGotoPath(),4,3,18,14,0.77%
net.sf.freecol.client.gui.SwingGUI.updateEuropeanSubpanels(),6,3,18,13,0.77%
"net.sf.freecol.client.gui.SwingGUI.updateGoto(int, int, boolean)",3,3,12,9,0.51%
net.sf.freecol.client.gui.SwingGUI.updateGotoTile(Tile),7,5,26,18,1.11%
net.sf.freecol.client.gui.SwingGUI.updateMapControls(),3,3,9,6,0.39%
net.sf.freecol.client.gui.SwingGUI.updateMenuBar(),3,3,7,4,0.30%
net.sf.freecol.client.gui.SwingGUI.updateUnitPath(),3,3,20,17,0.86%
net.sf.freecol.client.gui.SwingGUI.useMapAsyncPainter(),3,3,8,5,0.34%
net.sf.freecol.client.gui.SwingGUI.zoomInMap(),3,3,11,8,0.47%
net.sf.freecol.client.gui.SwingGUI.zoomInMapControls(),3,3,8,5,0.34%
net.sf.freecol.client.gui.SwingGUI.zoomOutMap(),3,3,11,8,0.47%
net.sf.freecol.client.gui.SwingGUI.zoomOutMapControls(),3,3,8,5,0.34%
"net.sf.freecol.client.gui.TilePopup.TilePopup(FreeColClient, Tile)",10,7,149,136,37.06%
net.sf.freecol.client.gui.TilePopup.addColony(Colony),4,5,21,16,5.22%
"net.sf.freecol.client.gui.TilePopup.addDebugItems(FreeColClient, Tile)",4,6,120,114,29.85%
net.sf.freecol.client.gui.TilePopup.addIndianSettlement(IndianSettlement),4,6,17,11,4.23%
net.sf.freecol.client.gui.TilePopup.addTile(Tile),9,9,19,9,4.73%
"net.sf.freecol.client.gui.TilePopup.addUnit(Container, Unit, boolean, boolean)",5,10,51,40,12.69%
net.sf.freecol.client.gui.TilePopup.hasItem(),6,7,10,3,2.49%
"net.sf.freecol.client.gui.Widgets.DialogCallback.DialogCallback(FreeColDialog<T>, PopupPosition, DialogHandler<T>)",4,7,14,7,34.15%
net.sf.freecol.client.gui.Widgets.DialogCallback.run(),5,3,18,13,43.90%
"net.sf.freecol.client.gui.Widgets.Widgets(FreeColClient, Canvas)",4,6,10,4,0.94%
"net.sf.freecol.client.gui.Widgets.confirm(StringTemplate, ImageIcon, String, String, PopupPosition)",4,10,17,7,1.60%
"net.sf.freecol.client.gui.Widgets.getChoice(StringTemplate, ImageIcon, String, List<ChoiceItem<T>>, PopupPosition)",4,13,22,9,2.07%
net.sf.freecol.client.gui.Widgets.getFrame(),0,0,3,3,0.28%
"net.sf.freecol.client.gui.Widgets.getInput(StringTemplate, String, String, String, PopupPosition)",4,11,20,9,1.88%
net.sf.freecol.client.gui.Widgets.showAboutPanel(),4,5,11,6,1.03%
net.sf.freecol.client.gui.Widgets.showBuildQueuePanel(Colony),4,6,16,10,1.50%
"net.sf.freecol.client.gui.Widgets.showCaptureGoodsDialog(Unit, List<Goods>, DialogHandler<List<Goods>>)",4,7,13,6,1.22%
net.sf.freecol.client.gui.Widgets.showChatPanel(),4,5,12,7,1.13%
"net.sf.freecol.client.gui.Widgets.showChooseFoundingFatherDialog(List<FoundingFather>, DialogHandler<FoundingFather>)",4,6,12,6,1.13%
net.sf.freecol.client.gui.Widgets.showColopediaPanel(String),4,6,12,6,1.13%
net.sf.freecol.client.gui.Widgets.showColorChooserPanel(ActionListener),4,7,13,6,1.22%
net.sf.freecol.client.gui.Widgets.showCompactLabourReport(),4,5,12,7,1.13%
net.sf.freecol.client.gui.Widgets.showCompactLabourReport(UnitData),4,6,13,7,1.22%
net.sf.freecol.client.gui.Widgets.showConfirmDeclarationDialog(),4,5,10,5,0.94%
net.sf.freecol.client.gui.Widgets.showDeclarationPanel(Runnable),5,6,10,4,0.94%
"net.sf.freecol.client.gui.Widgets.showDifficultyDialog(Specification, OptionGroup, boolean, DialogHandler<OptionGroup>)",4,9,17,8,1.60%
"net.sf.freecol.client.gui.Widgets.showDumpCargoDialog(Unit, PopupPosition, DialogHandler<List<Goods>>)",4,7,13,6,1.22%
net.sf.freecol.client.gui.Widgets.showEditOptionDialog(Option),4,6,12,6,1.13%
net.sf.freecol.client.gui.Widgets.showEditSettlementDialog(IndianSettlement),4,6,11,5,1.03%
"net.sf.freecol.client.gui.Widgets.showEmigrationDialog(Player, boolean, DialogHandler<Integer>)",5,9,17,8,1.60%
"net.sf.freecol.client.gui.Widgets.showEndTurnDialog(List<Unit>, DialogHandler<Boolean>)",4,6,12,6,1.13%
net.sf.freecol.client.gui.Widgets.showErrorPanel(String),4,6,13,7,1.22%
net.sf.freecol.client.gui.Widgets.showEuropePanel(Runnable),4,6,18,12,1.69%
"net.sf.freecol.client.gui.Widgets.showEventPanel(String, String, String)",4,8,15,7,1.41%
net.sf.freecol.client.gui.Widgets.showFindSettlementPanel(),4,5,11,6,1.03%
"net.sf.freecol.client.gui.Widgets.showFirstContactDialog(Player, Player, Tile, int, PopupPosition, DialogHandler<Boolean>)",5,13,22,9,2.07%
"net.sf.freecol.client.gui.Widgets.showGameOptionsDialog(boolean, DialogHandler<OptionGroup>)",4,6,11,5,1.03%
"net.sf.freecol.client.gui.Widgets.showHighScoresPanel(String, List<HighScore>)",4,7,14,7,1.32%
"net.sf.freecol.client.gui.Widgets.showIndianSettlementPanel(IndianSettlement, PopupPosition)",4,7,13,6,1.22%
"net.sf.freecol.client.gui.Widgets.showInformationPanel(FreeColObject, PopupPosition, ImageIcon, StringTemplate)",4,9,19,10,1.79%
"net.sf.freecol.client.gui.Widgets.showLoadDialog(File, FileFilter[])",4,7,13,6,1.22%
"net.sf.freecol.client.gui.Widgets.showLoadingSavegameDialog(boolean, boolean)",7,11,18,7,1.69%
net.sf.freecol.client.gui.Widgets.showLogFilePanel(),4,5,11,6,1.03%
"net.sf.freecol.client.gui.Widgets.showMapGeneratorOptionsDialog(boolean, DialogHandler<OptionGroup>)",4,5,10,5,0.94%
net.sf.freecol.client.gui.Widgets.showMapSizeDialog(),4,5,10,5,0.94%
"net.sf.freecol.client.gui.Widgets.showMonarchDialog(MonarchAction, StringTemplate, String, DialogHandler<Boolean>)",4,9,17,8,1.60%
"net.sf.freecol.client.gui.Widgets.showNamingDialog(StringTemplate, String, PopupPosition, DialogHandler<String>)",4,9,18,9,1.69%
"net.sf.freecol.client.gui.Widgets.showNativeDemandDialog(Unit, Colony, GoodsType, int, PopupPosition, DialogHandler<Boolean>)",4,10,19,9,1.79%
"net.sf.freecol.client.gui.Widgets.showNegotiationDialog(FreeColGameObject, FreeColGameObject, DiplomaticTrade, StringTemplate, PopupPosition)",4,11,21,10,1.97%
net.sf.freecol.client.gui.Widgets.showNewPanel(Specification),4,6,12,6,1.13%
net.sf.freecol.client.gui.Widgets.showParametersDialog(),4,5,10,5,0.94%
"net.sf.freecol.client.gui.Widgets.showPreCombatDialog(Unit, FreeColGameObject, PopupPosition)",4,8,16,8,1.50%
net.sf.freecol.client.gui.Widgets.showPurchasePanel(),4,5,15,10,1.41%
net.sf.freecol.client.gui.Widgets.showRecruitPanel(),4,5,14,9,1.32%
net.sf.freecol.client.gui.Widgets.showReportCargoPanel(),0,0,9,9,0.85%
net.sf.freecol.client.gui.Widgets.showReportColonyPanel(boolean),0,0,19,19,1.79%
net.sf.freecol.client.gui.Widgets.showReportContinentalCongressPanel(),0,0,9,9,0.85%
net.sf.freecol.client.gui.Widgets.showReportEducationPanel(),0,0,9,9,0.85%
net.sf.freecol.client.gui.Widgets.showReportExplorationPanel(),0,0,9,9,0.85%
net.sf.freecol.client.gui.Widgets.showReportForeignAffairPanel(),0,0,9,9,0.85%
net.sf.freecol.client.gui.Widgets.showReportHistoryPanel(),0,0,9,9,0.85%
net.sf.freecol.client.gui.Widgets.showReportIndianPanel(),0,0,9,9,0.85%
"net.sf.freecol.client.gui.Widgets.showReportLabourDetailPanel(UnitType, Map<UnitType, Map<Location, Integer>>, TypeCountMap<UnitType>, List<Colony>)",4,9,19,10,1.79%
net.sf.freecol.client.gui.Widgets.showReportLabourPanel(),0,0,9,9,0.85%
net.sf.freecol.client.gui.Widgets.showReportMilitaryPanel(),0,0,9,9,0.85%
net.sf.freecol.client.gui.Widgets.showReportNavalPanel(),0,0,9,9,0.85%
net.sf.freecol.client.gui.Widgets.showReportProductionPanel(),0,0,9,9,0.85%
net.sf.freecol.client.gui.Widgets.showReportReligiousPanel(),0,0,9,9,0.85%
net.sf.freecol.client.gui.Widgets.showReportRequirementsPanel(),0,0,9,9,0.85%
net.sf.freecol.client.gui.Widgets.showReportTradePanel(),0,0,9,9,0.85%
net.sf.freecol.client.gui.Widgets.showReportTurnPanel(List<ModelMessage>),4,6,17,11,1.60%
net.sf.freecol.client.gui.Widgets.showRiverStyleDialog(List<String>),4,6,11,5,1.03%
"net.sf.freecol.client.gui.Widgets.showSaveDialog(File, FileFilter[], String)",4,9,16,7,1.50%
net.sf.freecol.client.gui.Widgets.showScaleMapSizeDialog(),4,5,10,5,0.94%
"net.sf.freecol.client.gui.Widgets.showSelectAmountDialog(GoodsType, int, int, boolean)",4,9,18,9,1.69%
"net.sf.freecol.client.gui.Widgets.showSelectDestinationDialog(Unit, PopupPosition)",5,8,14,6,1.32%
"net.sf.freecol.client.gui.Widgets.showSelectTributeAmountDialog(StringTemplate, int)",4,8,16,8,1.50%
net.sf.freecol.client.gui.Widgets.showServerListPanel(List<ServerInfo>),4,7,15,8,1.41%
"net.sf.freecol.client.gui.Widgets.showStatisticsPanel(Map<String, String>, Map<String, String>)",4,7,15,8,1.41%
net.sf.freecol.client.gui.Widgets.showTilePanel(Tile),4,6,13,7,1.22%
net.sf.freecol.client.gui.Widgets.showTradeRouteInputPanel(TradeRoute),4,6,12,6,1.13%
"net.sf.freecol.client.gui.Widgets.showTradeRoutePanel(Unit, PopupPosition)",4,7,12,5,1.13%
net.sf.freecol.client.gui.Widgets.showTrainPanel(),4,5,15,10,1.41%
net.sf.freecol.client.gui.Widgets.showVictoryDialog(DialogHandler<Boolean>),4,5,9,4,0.85%
"net.sf.freecol.client.gui.Widgets.showWarehouseDialog(Colony, DialogHandler<Boolean>)",6,8,12,4,1.13%
net.sf.freecol.client.gui.Widgets.showWorkProductionPanel(Unit),4,6,12,6,1.13%
net.sf.freecol.client.gui.WindowedFrameListener.WindowedFrameListener(FreeColClient),4,5,8,3,10.53%
net.sf.freecol.client.gui.WindowedFrameListener.windowActivated(WindowEvent),4,5,8,3,10.53%
net.sf.freecol.client.gui.WindowedFrameListener.windowClosed(WindowEvent),4,5,8,3,10.53%
net.sf.freecol.client.gui.WindowedFrameListener.windowClosing(WindowEvent),4,5,14,9,18.42%
net.sf.freecol.client.gui.WindowedFrameListener.windowDeactivated(WindowEvent),4,5,8,3,10.53%
net.sf.freecol.client.gui.WindowedFrameListener.windowDeiconified(WindowEvent),4,5,8,3,10.53%
net.sf.freecol.client.gui.WindowedFrameListener.windowIconified(WindowEvent),4,5,8,3,10.53%
net.sf.freecol.client.gui.WindowedFrameListener.windowOpened(WindowEvent),4,5,8,3,10.53%
net.sf.freecol.client.gui.action.AboutAction.AboutAction(FreeColClient),4,5,8,3,36.36%
net.sf.freecol.client.gui.action.AboutAction.actionPerformed(ActionEvent),3,3,7,4,31.82%
net.sf.freecol.client.gui.action.ActionManager.ActionManager(FreeColClient),4,5,9,4,4.11%
net.sf.freecol.client.gui.action.ActionManager.addSpecificationActions(Specification),7,7,21,13,9.59%
net.sf.freecol.client.gui.action.ActionManager.getFreeColAction(String),5,7,12,5,5.48%
"net.sf.freecol.client.gui.action.ActionManager.initializeActions(InGameController, ConnectController)",20,21,112,90,51.14%
net.sf.freecol.client.gui.action.ActionManager.makeMiniMapButtons(),4,5,13,8,5.94%
net.sf.freecol.client.gui.action.ActionManager.makeUnitActionButtons(Specification),4,6,28,22,12.79%
net.sf.freecol.client.gui.action.ActionManager.refreshResources(),0,0,7,7,3.20%
net.sf.freecol.client.gui.action.ActionManager.update(),4,5,9,4,4.11%
net.sf.freecol.client.gui.action.AssignTradeRouteAction.AssignTradeRouteAction(FreeColClient),4,5,8,3,22.86%
net.sf.freecol.client.gui.action.AssignTradeRouteAction.actionPerformed(ActionEvent),3,3,8,5,22.86%
net.sf.freecol.client.gui.action.AssignTradeRouteAction.shouldBeEnabled(),3,3,11,8,31.43%
net.sf.freecol.client.gui.action.AttackRangedAction.AttackRangedAction(FreeColClient),4,5,9,4,25.71%
net.sf.freecol.client.gui.action.AttackRangedAction.actionPerformed(ActionEvent),3,3,9,6,25.71%
net.sf.freecol.client.gui.action.AttackRangedAction.shouldBeEnabled(),3,3,12,9,34.29%
net.sf.freecol.client.gui.action.BuildColonyAction.BuildColonyAction(FreeColClient),4,5,9,4,24.32%
net.sf.freecol.client.gui.action.BuildColonyAction.actionPerformed(ActionEvent),3,3,7,4,18.92%
net.sf.freecol.client.gui.action.BuildColonyAction.shouldBeEnabled(),4,3,13,9,35.14%
net.sf.freecol.client.gui.action.CenterAction.CenterAction(FreeColClient),4,5,8,3,29.63%
net.sf.freecol.client.gui.action.CenterAction.actionPerformed(ActionEvent),3,3,12,9,44.44%
net.sf.freecol.client.gui.action.ChangeAction.ChangeAction(FreeColClient),4,5,8,3,10.67%
net.sf.freecol.client.gui.action.ChangeAction.actionPerformed(ActionEvent),3,3,30,27,40.00%
net.sf.freecol.client.gui.action.ChangeAction.shouldBeEnabled(),3,3,7,4,9.33%
net.sf.freecol.client.gui.action.ChangeAction.update(),3,3,17,14,22.67%
net.sf.freecol.client.gui.action.ChangeWindowedModeAction.ChangeWindowedModeAction(FreeColClient),4,5,8,3,33.33%
net.sf.freecol.client.gui.action.ChangeWindowedModeAction.actionPerformed(ActionEvent),3,3,9,6,37.50%
net.sf.freecol.client.gui.action.ChatAction.ChatAction(FreeColClient),4,5,8,3,22.86%
net.sf.freecol.client.gui.action.ChatAction.actionPerformed(ActionEvent),3,3,7,4,20.00%
net.sf.freecol.client.gui.action.ChatAction.shouldBeEnabled(),3,3,10,7,28.57%
net.sf.freecol.client.gui.action.ClearOrdersAction.ClearOrdersAction(FreeColClient),4,5,8,3,36.36%
net.sf.freecol.client.gui.action.ClearOrdersAction.actionPerformed(ActionEvent),3,3,7,4,31.82%
"net.sf.freecol.client.gui.action.ColopediaAction.ColopediaAction(FreeColClient, PanelType)",4,6,10,4,22.73%
net.sf.freecol.client.gui.action.ColopediaAction.PanelType.getKey(),0,0,3,3,33.33%
net.sf.freecol.client.gui.action.ColopediaAction.actionPerformed(ActionEvent),3,3,7,4,15.91%
net.sf.freecol.client.gui.action.ContinueAction.ContinueAction(FreeColClient),5,5,11,5,32.35%
net.sf.freecol.client.gui.action.ContinueAction.actionPerformed(ActionEvent),3,3,16,13,47.06%
net.sf.freecol.client.gui.action.DebugAction.DebugAction(FreeColClient),4,5,10,5,31.25%
net.sf.freecol.client.gui.action.DebugAction.actionPerformed(ActionEvent),3,3,7,4,21.88%
net.sf.freecol.client.gui.action.DebugAction.shouldBeEnabled(),3,3,7,4,21.88%
net.sf.freecol.client.gui.action.DeclareIndependenceAction.DeclareIndependenceAction(FreeColClient),4,5,8,3,25.00%
net.sf.freecol.client.gui.action.DeclareIndependenceAction.actionPerformed(ActionEvent),3,3,7,4,21.88%
net.sf.freecol.client.gui.action.DeclareIndependenceAction.shouldBeEnabled(),3,3,9,6,28.12%
net.sf.freecol.client.gui.action.DetermineHighSeasAction.DetermineHighSeasAction(FreeColClient),4,5,8,3,22.22%
net.sf.freecol.client.gui.action.DetermineHighSeasAction.actionPerformed(ActionEvent),3,3,11,8,30.56%
net.sf.freecol.client.gui.action.DetermineHighSeasAction.shouldBeEnabled(),3,3,9,6,25.00%
net.sf.freecol.client.gui.action.DisbandUnitAction.DisbandUnitAction(FreeColClient),4,5,9,4,39.13%
net.sf.freecol.client.gui.action.DisbandUnitAction.actionPerformed(ActionEvent),3,3,7,4,30.43%
net.sf.freecol.client.gui.action.DisplayBordersAction.DisplayBordersAction(FreeColClient),4,5,9,4,36.00%
net.sf.freecol.client.gui.action.DisplayBordersAction.actionPerformed(ActionEvent),3,3,9,6,36.00%
net.sf.freecol.client.gui.action.DisplayFogOfWarAction.DisplayFogOfWarAction(FreeColClient),4,5,9,4,23.68%
net.sf.freecol.client.gui.action.DisplayFogOfWarAction.actionPerformed(ActionEvent),3,3,9,6,23.68%
net.sf.freecol.client.gui.action.DisplayFogOfWarAction.shouldBeEnabled(),4,0,13,9,34.21%
net.sf.freecol.client.gui.action.DisplayGridAction.DisplayGridAction(FreeColClient),4,5,9,4,36.00%
net.sf.freecol.client.gui.action.DisplayGridAction.actionPerformed(ActionEvent),3,3,9,6,36.00%
net.sf.freecol.client.gui.action.DisplayTileTextAction.DisplayText.getKey(),0,0,3,3,42.86%
"net.sf.freecol.client.gui.action.DisplayTileTextAction.DisplayTileTextAction(FreeColClient, DisplayText)",4,6,15,9,25.42%
net.sf.freecol.client.gui.action.DisplayTileTextAction.actionPerformed(ActionEvent),3,3,11,8,18.64%
net.sf.freecol.client.gui.action.DisplayTileTextAction.shouldBeSelected(),3,3,11,8,18.64%
net.sf.freecol.client.gui.action.EndTurnAction.EndTurnAction(FreeColClient),4,5,8,3,33.33%
net.sf.freecol.client.gui.action.EndTurnAction.actionPerformed(ActionEvent),3,3,7,4,29.17%
net.sf.freecol.client.gui.action.EuropeAction.EuropeAction(FreeColClient),4,5,8,3,24.24%
net.sf.freecol.client.gui.action.EuropeAction.actionPerformed(ActionEvent),3,3,7,4,21.21%
net.sf.freecol.client.gui.action.EuropeAction.shouldBeEnabled(),3,3,9,6,27.27%
net.sf.freecol.client.gui.action.ExecuteGotoOrdersAction.ExecuteGotoOrdersAction(FreeColClient),4,5,8,3,36.36%
net.sf.freecol.client.gui.action.ExecuteGotoOrdersAction.actionPerformed(ActionEvent),3,3,7,4,31.82%
net.sf.freecol.client.gui.action.FindSettlementAction.FindSettlementAction(FreeColClient),4,5,8,3,36.36%
net.sf.freecol.client.gui.action.FindSettlementAction.actionPerformed(ActionEvent),3,3,7,4,31.82%
net.sf.freecol.client.gui.action.FortifyAction.FortifyAction(FreeColClient),4,5,9,4,27.27%
net.sf.freecol.client.gui.action.FortifyAction.actionPerformed(ActionEvent),3,3,8,5,24.24%
net.sf.freecol.client.gui.action.FortifyAction.shouldBeEnabled(),3,3,8,5,24.24%
"net.sf.freecol.client.gui.action.FreeColAction.FreeColAction(FreeColClient, String)",4,6,20,14,5.60%
net.sf.freecol.client.gui.action.FreeColAction.InnerMenuKeyListener.InnerMenuKeyListener(),0,0,3,3,9.38%
net.sf.freecol.client.gui.action.FreeColAction.InnerMenuKeyListener.menuKeyPressed(MenuKeyEvent),0,0,10,10,31.25%
net.sf.freecol.client.gui.action.FreeColAction.InnerMenuKeyListener.menuKeyReleased(MenuKeyEvent),1,0,4,3,12.50%
net.sf.freecol.client.gui.action.FreeColAction.InnerMenuKeyListener.menuKeyTyped(MenuKeyEvent),1,0,4,3,12.50%
net.sf.freecol.client.gui.action.FreeColAction.addImageIcons(String),8,5,15,6,4.20%
net.sf.freecol.client.gui.action.FreeColAction.cloneOption(),3,3,7,4,1.96%
net.sf.freecol.client.gui.action.FreeColAction.getAccelerator(),4,6,9,3,2.52%
net.sf.freecol.client.gui.action.FreeColAction.getActionManager(),4,5,8,3,2.24%
net.sf.freecol.client.gui.action.FreeColAction.getClientOptions(),4,5,8,3,2.24%
net.sf.freecol.client.gui.action.FreeColAction.getConnectController(),4,5,8,3,2.24%
net.sf.freecol.client.gui.action.FreeColAction.getEnabledBy(),4,3,8,4,2.24%
net.sf.freecol.client.gui.action.FreeColAction.getFreeColClient(),4,5,8,3,2.24%
net.sf.freecol.client.gui.action.FreeColAction.getGUI(),4,5,8,3,2.24%
net.sf.freecol.client.gui.action.FreeColAction.getGame(),4,5,8,3,2.24%
net.sf.freecol.client.gui.action.FreeColAction.getGroup(),3,3,7,4,1.96%
net.sf.freecol.client.gui.action.FreeColAction.getId(),4,5,9,4,2.52%
net.sf.freecol.client.gui.action.FreeColAction.getKeyStrokeText(KeyStroke),6,10,13,3,3.64%
net.sf.freecol.client.gui.action.FreeColAction.getMap(),4,5,9,4,2.52%
net.sf.freecol.client.gui.action.FreeColAction.getMenuKeyListener(),0,0,3,3,0.84%
net.sf.freecol.client.gui.action.FreeColAction.getMnemonic(),4,5,8,3,2.24%
net.sf.freecol.client.gui.action.FreeColAction.getName(),4,5,8,3,2.24%
net.sf.freecol.client.gui.action.FreeColAction.getShortDescription(),5,6,9,3,2.52%
net.sf.freecol.client.gui.action.FreeColAction.getValue(),3,3,7,4,1.96%
net.sf.freecol.client.gui.action.FreeColAction.getXMLTagName(),3,3,4,1,1.12%
net.sf.freecol.client.gui.action.FreeColAction.hasOrderButtons(),4,5,8,3,2.24%
net.sf.freecol.client.gui.action.FreeColAction.igc(),4,5,8,3,2.24%
net.sf.freecol.client.gui.action.FreeColAction.readFromXML(FreeColXMLReader),5,6,14,7,3.92%
net.sf.freecol.client.gui.action.FreeColAction.setAccelerator(KeyStroke),4,6,9,3,2.52%
net.sf.freecol.client.gui.action.FreeColAction.setGroup(String),3,3,7,4,1.96%
net.sf.freecol.client.gui.action.FreeColAction.setMnemonic(int),0,0,3,3,0.84%
net.sf.freecol.client.gui.action.FreeColAction.setValue(FreeColAction),3,3,7,4,1.96%
net.sf.freecol.client.gui.action.FreeColAction.shouldBeEnabled(),4,6,9,3,2.52%
net.sf.freecol.client.gui.action.FreeColAction.toString(),3,3,7,4,1.96%
net.sf.freecol.client.gui.action.FreeColAction.toXML(FreeColXMLWriter),5,7,14,7,3.92%
net.sf.freecol.client.gui.action.FreeColAction.update(),4,4,7,3,1.96%
net.sf.freecol.client.gui.action.FreeColAction.updateImageIcon(String),0,0,14,14,3.92%
net.sf.freecol.client.gui.action.FreeColAction.updateRegisteredImageIcons(),0,0,5,5,1.40%
net.sf.freecol.client.gui.action.GotoAction.GotoAction(FreeColClient),4,5,8,3,22.86%
net.sf.freecol.client.gui.action.GotoAction.actionPerformed(ActionEvent),3,3,10,7,28.57%
net.sf.freecol.client.gui.action.GotoAction.shouldBeEnabled(),3,3,7,4,20.00%
net.sf.freecol.client.gui.action.GotoTileAction.GotoTileAction(FreeColClient),4,5,8,3,25.81%
net.sf.freecol.client.gui.action.GotoTileAction.actionPerformed(ActionEvent),3,3,7,4,22.58%
net.sf.freecol.client.gui.action.GotoTileAction.shouldBeEnabled(),3,3,8,5,25.81%
"net.sf.freecol.client.gui.action.ImprovementAction.ImprovementAction(FreeColClient, TileImprovementType)",4,6,12,6,27.27%
net.sf.freecol.client.gui.action.ImprovementAction.actionPerformed(ActionEvent),3,3,9,6,20.45%
net.sf.freecol.client.gui.action.ImprovementAction.shouldBeEnabled(),3,3,12,9,27.27%
net.sf.freecol.client.gui.action.LoadAction.LoadAction(FreeColClient),4,5,8,3,17.39%
net.sf.freecol.client.gui.action.LoadAction.actionPerformed(ActionEvent),3,3,21,18,45.65%
net.sf.freecol.client.gui.action.LoadAction.shouldBeEnabled(),3,3,9,6,19.57%
net.sf.freecol.client.gui.action.MapControlsAction.MapControlsAction(FreeColClient),4,5,9,4,26.47%
net.sf.freecol.client.gui.action.MapControlsAction.actionPerformed(ActionEvent),3,3,9,6,26.47%
net.sf.freecol.client.gui.action.MapControlsAction.update(),3,3,8,5,23.53%
net.sf.freecol.client.gui.action.MapEditorAction.MapEditorAction(FreeColClient),4,5,8,3,36.36%
net.sf.freecol.client.gui.action.MapEditorAction.actionPerformed(ActionEvent),3,3,7,4,31.82%
"net.sf.freecol.client.gui.action.MapboardAction.MapboardAction(FreeColClient, String)",4,6,9,3,33.33%
net.sf.freecol.client.gui.action.MapboardAction.shouldBeEnabled(),3,3,11,8,40.74%
net.sf.freecol.client.gui.action.MiniMapToggleFogOfWarAction.MiniMapToggleFogOfWarAction(FreeColClient),4,5,9,4,19.57%
"net.sf.freecol.client.gui.action.MiniMapToggleFogOfWarAction.MiniMapToggleFogOfWarAction(FreeColClient, boolean)",4,6,10,4,21.74%
net.sf.freecol.client.gui.action.MiniMapToggleFogOfWarAction.actionPerformed(ActionEvent),3,3,8,5,17.39%
net.sf.freecol.client.gui.action.MiniMapToggleFogOfWarAction.update(),0,0,5,5,10.87%
net.sf.freecol.client.gui.action.MiniMapToggleFogOfWarAction.updateIcons(),0,0,7,7,15.22%
net.sf.freecol.client.gui.action.MiniMapToggleViewAction.MiniMapToggleViewAction(FreeColClient),4,5,9,4,19.57%
"net.sf.freecol.client.gui.action.MiniMapToggleViewAction.MiniMapToggleViewAction(FreeColClient, boolean)",4,6,10,4,21.74%
net.sf.freecol.client.gui.action.MiniMapToggleViewAction.actionPerformed(ActionEvent),3,3,8,5,17.39%
net.sf.freecol.client.gui.action.MiniMapToggleViewAction.update(),0,0,5,5,10.87%
net.sf.freecol.client.gui.action.MiniMapToggleViewAction.updateIcons(),0,0,7,7,15.22%
net.sf.freecol.client.gui.action.MiniMapZoomInAction.MiniMapZoomInAction(FreeColClient),4,5,9,4,20.45%
"net.sf.freecol.client.gui.action.MiniMapZoomInAction.MiniMapZoomInAction(FreeColClient, boolean)",4,6,10,4,22.73%
net.sf.freecol.client.gui.action.MiniMapZoomInAction.actionPerformed(ActionEvent),3,3,10,7,22.73%
net.sf.freecol.client.gui.action.MiniMapZoomInAction.shouldBeEnabled(),3,3,7,4,15.91%
net.sf.freecol.client.gui.action.MiniMapZoomOutAction.MiniMapZoomOutAction(FreeColClient),4,5,9,4,20.45%
"net.sf.freecol.client.gui.action.MiniMapZoomOutAction.MiniMapZoomOutAction(FreeColClient, boolean)",4,6,10,4,22.73%
net.sf.freecol.client.gui.action.MiniMapZoomOutAction.actionPerformed(ActionEvent),3,3,10,7,22.73%
net.sf.freecol.client.gui.action.MiniMapZoomOutAction.shouldBeEnabled(),3,3,7,4,15.91%
"net.sf.freecol.client.gui.action.MoveAction.MoveAction(FreeColClient, Direction)",4,6,10,4,19.61%
"net.sf.freecol.client.gui.action.MoveAction.MoveAction(FreeColClient, Direction, boolean)",4,7,12,5,23.53%
net.sf.freecol.client.gui.action.MoveAction.actionPerformed(ActionEvent),3,3,21,18,41.18%
net.sf.freecol.client.gui.action.NewAction.NewAction(FreeColClient),4,5,8,3,36.36%
net.sf.freecol.client.gui.action.NewAction.actionPerformed(ActionEvent),3,3,7,4,31.82%
net.sf.freecol.client.gui.action.NewEmptyMapAction.NewEmptyMapAction(FreeColClient),4,5,8,3,21.62%
net.sf.freecol.client.gui.action.NewEmptyMapAction.actionPerformed(ActionEvent),3,3,14,11,37.84%
net.sf.freecol.client.gui.action.NewEmptyMapAction.shouldBeEnabled(),3,3,7,4,18.92%
net.sf.freecol.client.gui.action.OpenAction.OpenAction(FreeColClient),4,5,8,3,30.77%
net.sf.freecol.client.gui.action.OpenAction.actionPerformed(ActionEvent),3,3,11,8,42.31%
net.sf.freecol.client.gui.action.PreferencesAction.PreferencesAction(FreeColClient),4,5,8,3,36.36%
net.sf.freecol.client.gui.action.PreferencesAction.actionPerformed(ActionEvent),3,3,7,4,31.82%
net.sf.freecol.client.gui.action.QuitAction.QuitAction(FreeColClient),4,5,8,3,36.36%
net.sf.freecol.client.gui.action.QuitAction.actionPerformed(ActionEvent),3,3,7,4,31.82%
net.sf.freecol.client.gui.action.ReconnectAction.ReconnectAction(FreeColClient),4,5,8,3,36.36%
net.sf.freecol.client.gui.action.ReconnectAction.actionPerformed(ActionEvent),3,3,7,4,31.82%
net.sf.freecol.client.gui.action.RenameAction.RenameAction(FreeColClient),4,5,8,3,36.36%
net.sf.freecol.client.gui.action.RenameAction.actionPerformed(ActionEvent),3,3,7,4,31.82%
net.sf.freecol.client.gui.action.ReportCargoAction.ReportCargoAction(FreeColClient),4,5,8,3,36.36%
